mcc,mnc,lac,cell_id,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,,,Date,neighboring,device
,4162,5,4377,,,,,42.67694133,-73.82134995,28.94,1.6,211.4,40.95,5/22/2019,21:34:35,21:35:00,5/22/2019 21:34,FALSE,samsung SM-G965U
310,120,5633,46165761,21,36,-104,,42.67694133,-73.82134995,28.94,1.6,211.4,40.95,5/22/2019,21:34:35,21:35:00,5/22/2019 21:34,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67682506,-73.82119061,9.65,0.33,344.6,43.25,5/22/2019,21:35:32,21:36:00,5/22/2019 21:35,FALSE,samsung SM-G965U
310,120,5633,46165777,21,44,-96,,42.67682506,-73.82119061,9.65,0.33,344.6,43.25,5/22/2019,21:35:32,21:36:00,5/22/2019 21:35,FALSE,samsung SM-G965U
,4162,5,316,,,,,42.67682506,-73.82119061,9.65,0.33,344.6,43.25,5/22/2019,21:36:02,21:36:00,5/22/2019 21:36,FALSE,samsung SM-G965U
310,120,5633,46165777,21,41,-99,,42.67682506,-73.82119061,9.65,0.33,344.6,43.25,5/22/2019,21:36:02,21:36:00,5/22/2019 21:36,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67682506,-73.82119061,9.65,0.33,344.6,43.25,5/22/2019,21:37:11,21:37:00,5/22/2019 21:37,FALSE,samsung SM-G965U
310,120,5633,47494449,402,19,-121,,42.67682506,-73.82119061,9.65,0.33,344.6,43.25,5/22/2019,21:37:11,21:37:00,5/22/2019 21:37,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:39:23,21:39:00,5/22/2019 21:39,FALSE,samsung SM-G965U
310,120,5633,46165785,21,43,-97,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:39:23,21:39:00,5/22/2019 21:39,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:39:33,21:40:00,5/22/2019 21:39,FALSE,samsung SM-G965U
310,120,5633,46165761,21,34,-106,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:39:33,21:40:00,5/22/2019 21:39,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:43:44,21:44:00,5/22/2019 21:43,FALSE,samsung SM-G965U
310,120,5633,46165777,21,39,-101,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:43:44,21:44:00,5/22/2019 21:43,FALSE,samsung SM-G965U
,4162,5,316,,,,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:47:15,21:47:00,5/22/2019 21:47,FALSE,samsung SM-G965U
310,120,5633,46165777,21,40,-100,,42.67710801,-73.82158285,35.38,5.14,341.5,40.63,5/22/2019,21:47:15,21:47:00,5/22/2019 21:47,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67610548,-73.82198646,19.3,3.09,232.6,0.28,5/22/2019,22:02:45,22:03:00,5/22/2019 22:02,FALSE,samsung SM-G965U
310,120,5633,46165777,21,39,-101,,42.67610548,-73.82198646,19.3,3.09,232.6,0.28,5/22/2019,22:02:45,22:03:00,5/22/2019 22:02,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67631789,-73.82154793,19.3,0.71,53.2,6.79,5/22/2019,22:10:13,22:10:00,5/22/2019 22:10,FALSE,samsung SM-G965U
310,120,5633,46165761,21,34,-106,,42.67631789,-73.82154793,19.3,0.71,53.2,6.79,5/22/2019,22:10:13,22:10:00,5/22/2019 22:10,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67631789,-73.82154793,19.3,0.71,53.2,6.79,5/22/2019,22:11:22,22:11:00,5/22/2019 22:11,FALSE,samsung SM-G965U
310,120,5633,46165785,21,44,-96,,42.67631789,-73.82154793,19.3,0.71,53.2,6.79,5/22/2019,22:11:22,22:11:00,5/22/2019 22:11,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67673581,-73.82082045,18.22,0,0,62.74,5/22/2019,22:22:08,22:22:00,5/22/2019 22:22,FALSE,samsung SM-G965U
310,120,5633,47494465,402,26,-114,,42.67673581,-73.82082045,18.22,0,0,62.74,5/22/2019,22:22:08,22:22:00,5/22/2019 22:22,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67672436,-73.82091577,22.51,0,0,55.07,5/22/2019,22:22:31,22:23:00,5/22/2019 22:22,FALSE,samsung SM-G965U
310,120,5633,46165785,21,46,-94,,42.67672436,-73.82091577,22.51,0,0,55.07,5/22/2019,22:22:31,22:23:00,5/22/2019 22:22,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67672436,-73.82091577,22.51,0,0,55.07,5/22/2019,22:22:41,22:23:00,5/22/2019 22:22,FALSE,samsung SM-G965U
310,120,5633,46165777,21,38,-102,,42.67672436,-73.82091577,22.51,0,0,55.07,5/22/2019,22:22:41,22:23:00,5/22/2019 22:22,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.6765293,-73.82123308,34.3,0,0,38.78,5/22/2019,22:36:56,22:37:00,5/22/2019 22:36,FALSE,samsung SM-G965U
310,120,5633,47494457,402,26,-114,,42.6765293,-73.82123308,34.3,0,0,38.78,5/22/2019,22:36:56,22:37:00,5/22/2019 22:36,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.6765293,-73.82123308,34.3,0,0,38.78,5/22/2019,22:53:53,22:54:00,5/22/2019 22:53,FALSE,samsung SM-G965U
310,120,5633,47494449,402,19,-121,,42.6765293,-73.82123308,34.3,0,0,38.78,5/22/2019,22:53:53,22:54:00,5/22/2019 22:53,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.6765293,-73.82123308,34.3,0,0,38.78,5/22/2019,22:55:16,22:55:00,5/22/2019 22:55,FALSE,samsung SM-G965U
310,120,5633,47497009,21,22,-118,,42.6765293,-73.82123308,34.3,0,0,38.78,5/22/2019,22:55:16,22:55:00,5/22/2019 22:55,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.6766903,-73.8220239,16.08,0,0,44.65,5/22/2019,22:56:11,22:56:00,5/22/2019 22:56,FALSE,samsung SM-G965U
310,120,5633,47497009,21,24,-116,,42.6766903,-73.8220239,16.08,0,0,44.65,5/22/2019,22:56:11,22:56:00,5/22/2019 22:56,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.6766903,-73.8220239,16.08,0,0,44.65,5/22/2019,22:56:24,22:56:00,5/22/2019 22:56,FALSE,samsung SM-G965U
310,120,5633,47494449,402,28,-112,,42.6766903,-73.8220239,16.08,0,0,44.65,5/22/2019,22:56:24,22:56:00,5/22/2019 22:56,FALSE,samsung SM-G965U
,4162,5,316,,,,,42.6766903,-73.8220239,16.08,0,0,44.65,5/22/2019,22:58:59,22:59:00,5/22/2019 22:58,FALSE,samsung SM-G965U
310,120,5633,47494449,402,27,-113,,42.6766903,-73.8220239,16.08,0,0,44.65,5/22/2019,22:58:59,22:59:00,5/22/2019 22:58,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67685912,-73.8213244,26.8,0,0,28.93,5/22/2019,23:13:59,23:14:00,5/22/2019 23:13,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67685912,-73.8213244,26.8,0,0,28.93,5/22/2019,23:14:04,23:14:00,5/22/2019 23:14,FALSE,samsung SM-G965U
310,120,5633,46165761,21,41,-99,,42.67685912,-73.8213244,26.8,0,0,28.93,5/22/2019,23:14:04,23:14:00,5/22/2019 23:14,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67685912,-73.8213244,26.8,0,0,28.93,5/22/2019,23:14:34,23:15:00,5/22/2019 23:14,FALSE,samsung SM-G965U
310,120,5633,47494449,402,23,-117,,42.67685912,-73.8213244,26.8,0,0,28.93,5/22/2019,23:14:34,23:15:00,5/22/2019 23:14,FALSE,samsung SM-G965U
,4162,5,4377,,,,,42.67685912,-73.8213244,26.8,0,0,28.93,5/22/2019,23:15:11,23:15:00,5/22/2019 23:15,FALSE,samsung SM-G965U
310,120,5633,47494457,402,25,-115,,42.67685912,-73.8213244,26.8,0,0,28.93,5/22/2019,23:15:11,23:15:00,5/22/2019 23:15,FALSE,samsung SM-G965U
